roc threshold = 2.811600e-01 ; pd = 8.391451e-01 ; fa = 153   ; nMatches = 746   ; tp = 600   ; fp = 153   ; tn = 37    ; fn = 43    ; matched = 643   ; relevant = 753   ; nTrueTracks = 889   ; fa-norm = 1.530000e+02
roc threshold = 2.947050e-01 ; pd = 8.357705e-01 ; fa = 153   ; nMatches = 743   ; tp = 599   ; fp = 153   ; tn = 37    ; fn = 44    ; matched = 643   ; relevant = 752   ; nTrueTracks = 889   ; fa-norm = 1.530000e+02
roc threshold = 3.017590e-01 ; pd = 8.357705e-01 ; fa = 153   ; nMatches = 743   ; tp = 598   ; fp = 153   ; tn = 37    ; fn = 45    ; matched = 643   ; relevant = 751   ; nTrueTracks = 889   ; fa-norm = 1.530000e+02
roc threshold = 3.046580e-01 ; pd = 8.357705e-01 ; fa = 152   ; nMatches = 743   ; tp = 598   ; fp = 152   ; tn = 38    ; fn = 45    ; matched = 643   ; relevant = 750   ; nTrueTracks = 889   ; fa-norm = 1.520000e+02
roc threshold = 3.068000e-01 ; pd = 8.357705e-01 ; fa = 151   ; nMatches = 743   ; tp = 598   ; fp = 151   ; tn = 39    ; fn = 45    ; matched = 643   ; relevant = 749   ; nTrueTracks = 889   ; fa-norm = 1.510000e+02
roc threshold = 3.070340e-01 ; pd = 8.357705e-01 ; fa = 151   ; nMatches = 743   ; tp = 597   ; fp = 151   ; tn = 39    ; fn = 46    ; matched = 643   ; relevant = 748   ; nTrueTracks = 889   ; fa-norm = 1.510000e+02
roc threshold = 3.072710e-01 ; pd = 8.346457e-01 ; fa = 151   ; nMatches = 742   ; tp = 596   ; fp = 151   ; tn = 39    ; fn = 47    ; matched = 643   ; relevant = 747   ; nTrueTracks = 889   ; fa-norm = 1.510000e+02
roc threshold = 3.085580e-01 ; pd = 8.346457e-01 ; fa = 150   ; nMatches = 742   ; tp = 596   ; fp = 150   ; tn = 40    ; fn = 47    ; matched = 643   ; relevant = 746   ; nTrueTracks = 889   ; fa-norm = 1.500000e+02
roc threshold = 3.166360e-01 ; pd = 8.346457e-01 ; fa = 150   ; nMatches = 742   ; tp = 595   ; fp = 150   ; tn = 40    ; fn = 48    ; matched = 643   ; relevant = 745   ; nTrueTracks = 889   ; fa-norm = 1.500000e+02
roc threshold = 3.228000e-01 ; pd = 8.346457e-01 ; fa = 150   ; nMatches = 742   ; tp = 594   ; fp = 150   ; tn = 40    ; fn = 49    ; matched = 643   ; relevant = 744   ; nTrueTracks = 889   ; fa-norm = 1.500000e+02
