roc threshold = 8.924950e-01 ; pd = 7.683616e-01 ; fa = 33    ; nMatches = 136   ; tp = 101   ; fp = 33    ; tn = 47    ; fn = 29    ; matched = 130   ; relevant = 134   ; nTrueTracks = 177   ; fa-norm = 3.300000e+01
roc threshold = 9.009760e-01 ; pd = 7.683616e-01 ; fa = 32    ; nMatches = 136   ; tp = 101   ; fp = 32    ; tn = 48    ; fn = 29    ; matched = 130   ; relevant = 133   ; nTrueTracks = 177   ; fa-norm = 3.200000e+01
roc threshold = 9.022340e-01 ; pd = 7.683616e-01 ; fa = 31    ; nMatches = 136   ; tp = 101   ; fp = 31    ; tn = 49    ; fn = 29    ; matched = 130   ; relevant = 132   ; nTrueTracks = 177   ; fa-norm = 3.100000e+01
roc threshold = 9.033620e-01 ; pd = 7.683616e-01 ; fa = 30    ; nMatches = 136   ; tp = 101   ; fp = 30    ; tn = 50    ; fn = 29    ; matched = 130   ; relevant = 131   ; nTrueTracks = 177   ; fa-norm = 3.000000e+01
roc threshold = 9.062140e-01 ; pd = 7.683616e-01 ; fa = 29    ; nMatches = 136   ; tp = 101   ; fp = 29    ; tn = 51    ; fn = 29    ; matched = 130   ; relevant = 130   ; nTrueTracks = 177   ; fa-norm = 2.900000e+01
roc threshold = 9.236230e-01 ; pd = 7.570621e-01 ; fa = 29    ; nMatches = 134   ; tp = 100   ; fp = 29    ; tn = 51    ; fn = 30    ; matched = 130   ; relevant = 129   ; nTrueTracks = 177   ; fa-norm = 2.900000e+01
roc threshold = 9.276070e-01 ; pd = 7.570621e-01 ; fa = 28    ; nMatches = 134   ; tp = 100   ; fp = 28    ; tn = 52    ; fn = 30    ; matched = 130   ; relevant = 128   ; nTrueTracks = 177   ; fa-norm = 2.800000e+01
roc threshold = 9.288720e-01 ; pd = 7.514124e-01 ; fa = 28    ; nMatches = 133   ; tp = 99    ; fp = 28    ; tn = 52    ; fn = 31    ; matched = 130   ; relevant = 127   ; nTrueTracks = 177   ; fa-norm = 2.800000e+01
roc threshold = 9.296110e-01 ; pd = 7.457627e-01 ; fa = 28    ; nMatches = 132   ; tp = 98    ; fp = 28    ; tn = 52    ; fn = 32    ; matched = 130   ; relevant = 126   ; nTrueTracks = 177   ; fa-norm = 2.800000e+01
roc threshold = 9.316430e-01 ; pd = 7.457627e-01 ; fa = 28    ; nMatches = 132   ; tp = 97    ; fp = 28    ; tn = 52    ; fn = 33    ; matched = 130   ; relevant = 125   ; nTrueTracks = 177   ; fa-norm = 2.800000e+01
roc threshold = 9.381530e-01 ; pd = 7.457627e-01 ; fa = 28    ; nMatches = 132   ; tp = 96    ; fp = 28    ; tn = 52    ; fn = 34    ; matched = 130   ; relevant = 124   ; nTrueTracks = 177   ; fa-norm = 2.800000e+01
roc threshold = 9.384570e-01 ; pd = 7.457627e-01 ; fa = 27    ; nMatches = 132   ; tp = 96    ; fp = 27    ; tn = 53    ; fn = 34    ; matched = 130   ; relevant = 123   ; nTrueTracks = 177   ; fa-norm = 2.700000e+01
roc threshold = 9.433180e-01 ; pd = 7.457627e-01 ; fa = 26    ; nMatches = 132   ; tp = 96    ; fp = 26    ; tn = 54    ; fn = 34    ; matched = 130   ; relevant = 122   ; nTrueTracks = 177   ; fa-norm = 2.600000e+01
roc threshold = 9.491060e-01 ; pd = 7.457627e-01 ; fa = 26    ; nMatches = 132   ; tp = 95    ; fp = 26    ; tn = 54    ; fn = 35    ; matched = 130   ; relevant = 121   ; nTrueTracks = 177   ; fa-norm = 2.600000e+01
roc threshold = 9.524100e-01 ; pd = 7.457627e-01 ; fa = 25    ; nMatches = 132   ; tp = 95    ; fp = 25    ; tn = 55    ; fn = 35    ; matched = 130   ; relevant = 120   ; nTrueTracks = 177   ; fa-norm = 2.500000e+01
roc threshold = 9.561980e-01 ; pd = 7.457627e-01 ; fa = 24    ; nMatches = 132   ; tp = 95    ; fp = 24    ; tn = 56    ; fn = 35    ; matched = 130   ; relevant = 119   ; nTrueTracks = 177   ; fa-norm = 2.400000e+01
roc threshold = 9.587310e-01 ; pd = 7.457627e-01 ; fa = 23    ; nMatches = 132   ; tp = 95    ; fp = 23    ; tn = 57    ; fn = 35    ; matched = 130   ; relevant = 118   ; nTrueTracks = 177   ; fa-norm = 2.300000e+01
roc threshold = 9.646370e-01 ; pd = 7.457627e-01 ; fa = 23    ; nMatches = 132   ; tp = 94    ; fp = 23    ; tn = 57    ; fn = 36    ; matched = 130   ; relevant = 117   ; nTrueTracks = 177   ; fa-norm = 2.300000e+01
roc threshold = 9.654460e-01 ; pd = 7.457627e-01 ; fa = 22    ; nMatches = 132   ; tp = 94    ; fp = 22    ; tn = 58    ; fn = 36    ; matched = 130   ; relevant = 116   ; nTrueTracks = 177   ; fa-norm = 2.200000e+01
roc threshold = 9.670900e-01 ; pd = 7.457627e-01 ; fa = 21    ; nMatches = 132   ; tp = 94    ; fp = 21    ; tn = 59    ; fn = 36    ; matched = 130   ; relevant = 115   ; nTrueTracks = 177   ; fa-norm = 2.100000e+01
roc threshold = 9.685250e-01 ; pd = 7.457627e-01 ; fa = 20    ; nMatches = 132   ; tp = 94    ; fp = 20    ; tn = 60    ; fn = 36    ; matched = 130   ; relevant = 114   ; nTrueTracks = 177   ; fa-norm = 2.000000e+01
roc threshold = 9.715160e-01 ; pd = 7.401130e-01 ; fa = 20    ; nMatches = 131   ; tp = 93    ; fp = 20    ; tn = 60    ; fn = 37    ; matched = 130   ; relevant = 113   ; nTrueTracks = 177   ; fa-norm = 2.000000e+01
roc threshold = 9.736480e-01 ; pd = 7.288136e-01 ; fa = 20    ; nMatches = 129   ; tp = 92    ; fp = 20    ; tn = 60    ; fn = 38    ; matched = 130   ; relevant = 112   ; nTrueTracks = 177   ; fa-norm = 2.000000e+01
roc threshold = 9.742330e-01 ; pd = 7.231638e-01 ; fa = 20    ; nMatches = 128   ; tp = 91    ; fp = 20    ; tn = 60    ; fn = 39    ; matched = 130   ; relevant = 111   ; nTrueTracks = 177   ; fa-norm = 2.000000e+01
roc threshold = 9.776500e-01 ; pd = 7.062147e-01 ; fa = 20    ; nMatches = 125   ; tp = 90    ; fp = 20    ; tn = 60    ; fn = 40    ; matched = 130   ; relevant = 110   ; nTrueTracks = 177   ; fa-norm = 2.000000e+01
roc threshold = 9.778250e-01 ; pd = 7.062147e-01 ; fa = 19    ; nMatches = 125   ; tp = 90    ; fp = 19    ; tn = 61    ; fn = 40    ; matched = 130   ; relevant = 109   ; nTrueTracks = 177   ; fa-norm = 1.900000e+01
roc threshold = 9.790100e-01 ; pd = 6.949153e-01 ; fa = 19    ; nMatches = 123   ; tp = 89    ; fp = 19    ; tn = 61    ; fn = 41    ; matched = 130   ; relevant = 108   ; nTrueTracks = 177   ; fa-norm = 1.900000e+01
roc threshold = 9.792310e-01 ; pd = 6.949153e-01 ; fa = 18    ; nMatches = 123   ; tp = 89    ; fp = 18    ; tn = 62    ; fn = 41    ; matched = 130   ; relevant = 107   ; nTrueTracks = 177   ; fa-norm = 1.800000e+01
roc threshold = 9.809420e-01 ; pd = 6.949153e-01 ; fa = 17    ; nMatches = 123   ; tp = 89    ; fp = 17    ; tn = 63    ; fn = 41    ; matched = 130   ; relevant = 106   ; nTrueTracks = 177   ; fa-norm = 1.700000e+01
