roc threshold = 8.831230e-01 ; pd = 8.613861e-01 ; fa = 19    ; nMatches = 87    ; tp = 70    ; fp = 19    ; tn = 38    ; fn = 28    ; matched = 98    ; relevant = 89    ; nTrueTracks = 101   ; fa-norm = 1.900000e+01
roc threshold = 9.209420e-01 ; pd = 8.613861e-01 ; fa = 18    ; nMatches = 87    ; tp = 70    ; fp = 18    ; tn = 39    ; fn = 28    ; matched = 98    ; relevant = 88    ; nTrueTracks = 101   ; fa-norm = 1.800000e+01
roc threshold = 9.256980e-01 ; pd = 8.613861e-01 ; fa = 18    ; nMatches = 87    ; tp = 69    ; fp = 18    ; tn = 39    ; fn = 29    ; matched = 98    ; relevant = 87    ; nTrueTracks = 101   ; fa-norm = 1.800000e+01
roc threshold = 9.351860e-01 ; pd = 7.821782e-01 ; fa = 18    ; nMatches = 79    ; tp = 68    ; fp = 18    ; tn = 39    ; fn = 30    ; matched = 98    ; relevant = 86    ; nTrueTracks = 101   ; fa-norm = 1.800000e+01
roc threshold = 9.400040e-01 ; pd = 7.821782e-01 ; fa = 17    ; nMatches = 79    ; tp = 68    ; fp = 17    ; tn = 40    ; fn = 30    ; matched = 98    ; relevant = 85    ; nTrueTracks = 101   ; fa-norm = 1.700000e+01
roc threshold = 9.530860e-01 ; pd = 7.821782e-01 ; fa = 17    ; nMatches = 79    ; tp = 67    ; fp = 17    ; tn = 40    ; fn = 31    ; matched = 98    ; relevant = 84    ; nTrueTracks = 101   ; fa-norm = 1.700000e+01
roc threshold = 9.687430e-01 ; pd = 7.722772e-01 ; fa = 17    ; nMatches = 78    ; tp = 66    ; fp = 17    ; tn = 40    ; fn = 32    ; matched = 98    ; relevant = 83    ; nTrueTracks = 101   ; fa-norm = 1.700000e+01
roc threshold = 9.726820e-01 ; pd = 7.623762e-01 ; fa = 17    ; nMatches = 77    ; tp = 65    ; fp = 17    ; tn = 40    ; fn = 33    ; matched = 98    ; relevant = 82    ; nTrueTracks = 101   ; fa-norm = 1.700000e+01
roc threshold = 9.782010e-01 ; pd = 7.623762e-01 ; fa = 16    ; nMatches = 77    ; tp = 65    ; fp = 16    ; tn = 41    ; fn = 33    ; matched = 98    ; relevant = 81    ; nTrueTracks = 101   ; fa-norm = 1.600000e+01
roc threshold = 9.795530e-01 ; pd = 7.623762e-01 ; fa = 15    ; nMatches = 77    ; tp = 65    ; fp = 15    ; tn = 42    ; fn = 33    ; matched = 98    ; relevant = 80    ; nTrueTracks = 101   ; fa-norm = 1.500000e+01
roc threshold = 9.814300e-01 ; pd = 7.623762e-01 ; fa = 15    ; nMatches = 77    ; tp = 64    ; fp = 15    ; tn = 42    ; fn = 34    ; matched = 98    ; relevant = 79    ; nTrueTracks = 101   ; fa-norm = 1.500000e+01
roc threshold = 9.823240e-01 ; pd = 7.623762e-01 ; fa = 15    ; nMatches = 77    ; tp = 63    ; fp = 15    ; tn = 42    ; fn = 35    ; matched = 98    ; relevant = 78    ; nTrueTracks = 101   ; fa-norm = 1.500000e+01
roc threshold = 9.827400e-01 ; pd = 7.623762e-01 ; fa = 15    ; nMatches = 77    ; tp = 62    ; fp = 15    ; tn = 42    ; fn = 36    ; matched = 98    ; relevant = 77    ; nTrueTracks = 101   ; fa-norm = 1.500000e+01
roc threshold = 9.832900e-01 ; pd = 7.623762e-01 ; fa = 14    ; nMatches = 77    ; tp = 62    ; fp = 14    ; tn = 43    ; fn = 36    ; matched = 98    ; relevant = 76    ; nTrueTracks = 101   ; fa-norm = 1.400000e+01
roc threshold = 9.836940e-01 ; pd = 7.623762e-01 ; fa = 13    ; nMatches = 77    ; tp = 62    ; fp = 13    ; tn = 44    ; fn = 36    ; matched = 98    ; relevant = 75    ; nTrueTracks = 101   ; fa-norm = 1.300000e+01
roc threshold = 9.850900e-01 ; pd = 7.524752e-01 ; fa = 13    ; nMatches = 76    ; tp = 61    ; fp = 13    ; tn = 44    ; fn = 37    ; matched = 98    ; relevant = 74    ; nTrueTracks = 101   ; fa-norm = 1.300000e+01
roc threshold = 9.902550e-01 ; pd = 7.524752e-01 ; fa = 13    ; nMatches = 76    ; tp = 60    ; fp = 13    ; tn = 44    ; fn = 38    ; matched = 98    ; relevant = 73    ; nTrueTracks = 101   ; fa-norm = 1.300000e+01
roc threshold = 9.903250e-01 ; pd = 7.524752e-01 ; fa = 13    ; nMatches = 76    ; tp = 59    ; fp = 13    ; tn = 44    ; fn = 39    ; matched = 98    ; relevant = 72    ; nTrueTracks = 101   ; fa-norm = 1.300000e+01
roc threshold = 9.925710e-01 ; pd = 7.524752e-01 ; fa = 12    ; nMatches = 76    ; tp = 59    ; fp = 12    ; tn = 45    ; fn = 39    ; matched = 98    ; relevant = 71    ; nTrueTracks = 101   ; fa-norm = 1.200000e+01
roc threshold = 9.929730e-01 ; pd = 7.524752e-01 ; fa = 12    ; nMatches = 76    ; tp = 58    ; fp = 12    ; tn = 45    ; fn = 40    ; matched = 98    ; relevant = 70    ; nTrueTracks = 101   ; fa-norm = 1.200000e+01
roc threshold = 9.948430e-01 ; pd = 7.524752e-01 ; fa = 11    ; nMatches = 76    ; tp = 58    ; fp = 11    ; tn = 46    ; fn = 40    ; matched = 98    ; relevant = 69    ; nTrueTracks = 101   ; fa-norm = 1.100000e+01
roc threshold = 9.950570e-01 ; pd = 7.524752e-01 ; fa = 11    ; nMatches = 76    ; tp = 57    ; fp = 11    ; tn = 46    ; fn = 41    ; matched = 98    ; relevant = 68    ; nTrueTracks = 101   ; fa-norm = 1.100000e+01
roc threshold = 9.955510e-01 ; pd = 7.524752e-01 ; fa = 10    ; nMatches = 76    ; tp = 57    ; fp = 10    ; tn = 47    ; fn = 41    ; matched = 98    ; relevant = 67    ; nTrueTracks = 101   ; fa-norm = 1.000000e+01
roc threshold = 9.970430e-01 ; pd = 7.524752e-01 ; fa = 9     ; nMatches = 76    ; tp = 57    ; fp = 9     ; tn = 48    ; fn = 41    ; matched = 98    ; relevant = 66    ; nTrueTracks = 101   ; fa-norm = 9.000000e+00
roc threshold = 9.974390e-01 ; pd = 7.524752e-01 ; fa = 8     ; nMatches = 76    ; tp = 57    ; fp = 8     ; tn = 49    ; fn = 41    ; matched = 98    ; relevant = 65    ; nTrueTracks = 101   ; fa-norm = 8.000000e+00
roc threshold = 9.974700e-01 ; pd = 7.524752e-01 ; fa = 8     ; nMatches = 76    ; tp = 56    ; fp = 8     ; tn = 49    ; fn = 42    ; matched = 98    ; relevant = 64    ; nTrueTracks = 101   ; fa-norm = 8.000000e+00
roc threshold = 9.976520e-01 ; pd = 7.425743e-01 ; fa = 8     ; nMatches = 75    ; tp = 55    ; fp = 8     ; tn = 49    ; fn = 43    ; matched = 98    ; relevant = 63    ; nTrueTracks = 101   ; fa-norm = 8.000000e+00
roc threshold = 9.981900e-01 ; pd = 7.425743e-01 ; fa = 7     ; nMatches = 75    ; tp = 55    ; fp = 7     ; tn = 50    ; fn = 43    ; matched = 98    ; relevant = 62    ; nTrueTracks = 101   ; fa-norm = 7.000000e+00
roc threshold = 9.988730e-01 ; pd = 7.425743e-01 ; fa = 6     ; nMatches = 75    ; tp = 55    ; fp = 6     ; tn = 51    ; fn = 43    ; matched = 98    ; relevant = 61    ; nTrueTracks = 101   ; fa-norm = 6.000000e+00
roc threshold = 9.991050e-01 ; pd = 7.425743e-01 ; fa = 6     ; nMatches = 75    ; tp = 54    ; fp = 6     ; tn = 51    ; fn = 44    ; matched = 98    ; relevant = 60    ; nTrueTracks = 101   ; fa-norm = 6.000000e+00
roc threshold = 9.991090e-01 ; pd = 7.326733e-01 ; fa = 6     ; nMatches = 74    ; tp = 53    ; fp = 6     ; tn = 51    ; fn = 45    ; matched = 98    ; relevant = 59    ; nTrueTracks = 101   ; fa-norm = 6.000000e+00
roc threshold = 9.991590e-01 ; pd = 7.128713e-01 ; fa = 6     ; nMatches = 72    ; tp = 52    ; fp = 6     ; tn = 51    ; fn = 46    ; matched = 98    ; relevant = 58    ; nTrueTracks = 101   ; fa-norm = 6.000000e+00
roc threshold = 9.994000e-01 ; pd = 7.128713e-01 ; fa = 6     ; nMatches = 72    ; tp = 51    ; fp = 6     ; tn = 51    ; fn = 47    ; matched = 98    ; relevant = 57    ; nTrueTracks = 101   ; fa-norm = 6.000000e+00
roc threshold = 9.995550e-01 ; pd = 7.128713e-01 ; fa = 5     ; nMatches = 72    ; tp = 51    ; fp = 5     ; tn = 52    ; fn = 47    ; matched = 98    ; relevant = 56    ; nTrueTracks = 101   ; fa-norm = 5.000000e+00
